Building,Room,Day,Start Time,End Time
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,102,Wed,03:00 PM,04:20 PM
Kent Chem Lab,102,Wed,03:00 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Kent Chem Lab,120,Fri,12:30 PM,01:20 PM
Stuart Hall,104,Wed,01:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Kersten Phys Teach Center,309,Thu,05:30 PM,07:30 PM
Midway Studios,102,Thu,12:30 PM,03:20 PM
Cochrane-Woods Art Ctr,156,Thu,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,152,Thu,02:00 PM,03:20 PM
Harper Mem Library,104,Wed,01:30 PM,02:50 PM
Rosenwald Hall ,11,Thu,02:00 PM,03:20 PM
Crerar Library,134,Wed,03:00 PM,04:20 PM
Cobb Hall,301,Thu,09:30 AM,10:50 AM
Rosenwald Hall,329,Thu,02:00 PM,04:50 PM
Cochrane-Woods Art Ctr,157,Wed,03:00 PM,04:20 PM
Social Sciences Rsch Bldg,302,Wed,01:30 PM,02:50 PM
Crerar Library,134,Fri,12:30 PM,04:50 PM
Logan Center ,28,Tue,02:00 PM,04:50 PM
Cobb Hall,302,Fri,09:30 AM,12:20 PM
Cobb Hall,107,Mon,04:30 PM,07:20 PM
Pick Hall,319,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,153,Thu,02:00 PM,04:50 PM
Logan Center,701,Mon,09:30 AM,12:20 PM
TBA,TBA,Wed,12:30 PM,03:20 PM
Pick Hall,319,Tue,02:00 PM,04:50 PM
Walker Museum,302,Wed,09:00 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
Gates-Blake Hall,321,Thu,02:00 PM,03:20 PM
TBA,TBA,Thu,02:00 PM,04:50 PM
Logan Center,501,Mon,12:30 PM,03:20 PM
Wieboldt Hall,408,Thu,02:00 PM,03:20 PM
Pick Hall,218,Mon,01:30 PM,04:20 PM
TBA,TBA,Tue,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,202,Fri,09:30 AM,10:20 AM
Cobb Hall,202,Fri,09:30 AM,10:20 AM
Harper Mem Library,104,Thu,11:00 AM,11:50 AM
Harper Mem Library,104,Thu,11:00 AM,11:50 AM
Cobb Hall,219,Thu,11:00 AM,11:50 AM
Cobb Hall,219,Thu,11:00 AM,11:50 AM
Harper Mem Library,104,Fri,09:30 AM,10:20 AM
Harper Mem Library,104,Fri,09:30 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cobb Hall,430,Thu,11:00 AM,11:50 AM
Cobb Hall,409,Fri,09:30 AM,10:20 AM
Cobb Hall,403,Fri,09:30 AM,10:20 AM
Cobb Hall,403,Fri,09:30 AM,10:20 AM
Cobb Hall,409,Fri,10:30 AM,11:20 AM
Cobb Hall,409,Fri,10:30 AM,11:20 AM
Cobb Hall,403,Fri,10:30 AM,11:20 AM
Cobb Hall,403,Fri,10:30 AM,11:20 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
Cobb Hall,219,Fri,09:30 AM,10:20 AM
Cobb Hall,219,Fri,09:30 AM,10:20 AM
Cobb Hall,430,Fri,09:30 AM,10:20 AM
Cobb Hall,430,Fri,09:30 AM,10:20 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
Cobb Hall,430,Thu,11:00 AM,11:50 AM
Cobb Hall,409,Fri,09:30 AM,10:20 AM
Harper Mem Library,148,Thu,11:00 AM,12:20 PM
Logan Center,201,Wed,01:30 PM,02:50 PM
Logan Center,201,Thu,12:30 PM,01:50 PM
Cobb Hall,310,Thu,12:30 PM,01:50 PM
Cobb Hall,307,Thu,11:00 AM,12:20 PM
Cobb Hall,310,Thu,02:00 PM,03:20 PM
Cobb Hall,310,Wed,04:30 PM,05:50 PM
Cobb Hall,307,Mon,03:30 PM,06:30 PM
Cochrane-Woods Art Ctr,152,Wed,01:30 PM,02:50 PM
Crerar Library,134,Thu,09:30 AM,10:50 AM
Crerar Library,134,Mon,09:30 AM,12:20 PM
Logan Center,201,Thu,02:00 PM,03:20 PM
Logan Center ,14,Tue,09:30 AM,12:20 PM
Cobb Hall,311,Mon,10:30 AM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 S. University Room 10,5737,Mon,02:30 PM,05:20 PM
Crerar Library,134,Thu,09:30 AM,10:50 AM
Crerar Library,134,Mon,09:30 AM,12:20 PM
Logan Center,201,Thu,02:00 PM,03:20 PM
Logan Center ,14,Tue,09:30 AM,12:20 PM
Wieboldt Hall,102,Mon,02:30 PM,05:20 PM
Crerar Library,134,Wed,09:30 AM,12:20 PM
Classics Building,113,Tue,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,311,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
Swift Hall,403,Wed,01:30 PM,02:50 PM
Swift Hall,106,Fri,01:30 PM,02:50 PM
Rosenwald Hall ,11,Wed,01:30 PM,02:50 PM
Classics Building ,21,Thu,02:00 PM,03:20 PM
Swift Hall,208,Wed,09:30 AM,12:20 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
Cobb Hall,202,Thu,12:30 PM,01:50 PM
Beecher Hall,101,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,Wed,01:30 PM,02:50 PM
Classics Building ,21,Thu,12:30 PM,01:50 PM
Classics Building ,21,Thu,09:30 AM,10:50 AM
Cobb Hall,106,Thu,12:30 PM,01:50 PM
Cobb Hall,106,Thu,09:30 AM,10:50 AM
Foster Hall,107,Wed,03:00 PM,04:20 PM
Classics Building ,21,Thu,11:00 AM,12:20 PM
Foster Hall,505,Wed,10:30 AM,01:20 PM
Regenstein Library,136,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
Swift Hall,201,Mon,09:30 AM,12:20 PM
Cobb Hall,103,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,Thu,02:00 PM,03:20 PM
Swift Hall,208,Wed,09:30 AM,12:20 PM
Cobb Hall,202,Thu,12:30 PM,01:50 PM
Beecher Hall,101,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Classics Building ,21,Wed,01:30 PM,02:50 PM
Classics Building ,21,Thu,12:30 PM,01:50 PM
Classics Building ,21,Thu,09:30 AM,10:50 AM
Classics Building ,21,Thu,11:00 AM,12:20 PM
Foster Hall,505,Wed,10:30 AM,01:20 PM
Regenstein Library,136,Wed,03:00 PM,04:20 PM
Cochrane-Woods Art Ctr,156,Wed,01:30 PM,04:20 PM
Swift Hall,201,Mon,09:30 AM,12:20 PM
Foster Hall,305,Wed,01:30 PM,04:20 PM
Classics Building,313,Thu,03:30 PM,04:50 PM
Classics Building ,21,Thu,03:30 PM,04:50 PM
BioSci Learning Center 0,8,Wed,04:30 PM,07:20 PM
Swift Hall,208,Wed,01:30 PM,02:50 PM
Pick Hall,118,Wed,01:30 PM,04:20 PM
The Keller Center 00,1,Thu,02:00 PM,03:20 PM
BioSci Learning Center 0,8,Wed,04:30 PM,07:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Hinds Lab Geo Sci,101,Thu,02:00 PM,03:20 PM
Stuart Hall,101,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,276,Thu,02:00 PM,03:20 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Goodspeed Hall,402,Thu,02:00 PM,03:20 PM
Logan Center,802,Wed,04:30 PM,05:50 PM
Wieboldt Hall,111,Wed,01:30 PM,02:50 PM
Stuart Hall ,20,Thu,02:00 PM,03:20 PM
Cobb Hall,107,Thu,12:30 PM,01:50 PM
Cobb Hall,107,Thu,03:30 PM,04:50 PM
Hinds Lab Geo Sci,101,Wed,01:30 PM,02:20 PM
Pick Hall,118,Thu,11:00 AM,12:20 PM
Cobb Hall,119,Wed,04:30 PM,05:50 PM
Social Sciences Rsch Bldg,404,Wed,01:30 PM,04:20 PM
Haskell Hall,315,Wed,01:30 PM,02:50 PM
Cobb Hall,203,Thu,11:00 AM,12:20 PM
Oriental Institute,210,Thu,02:00 PM,03:20 PM
TBA,TBA,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,09:30 AM,10:50 AM
Swift Hall,200,Fri,09:30 AM,12:20 PM
Stuart Hall ,20,Thu,11:00 AM,12:20 PM
Cobb Hall,218,Wed,01:30 PM,04:20 PM
Social Sciences Rsch Bldg,401,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,12:30 PM,01:50 PM
Cobb Hall,403,Thu,02:00 PM,03:20 PM
 S. University 10,5733,Thu,12:30 PM,01:50 PM
Social Sciences Rsch Bldg,302,Thu,12:30 PM,01:50 PM
 S. University 10,5733,Thu,09:30 AM,10:50 AM
 Building 289,1155,Fri,01:30 PM,04:20 PM
Cobb Hall,112,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
 S. University 10,5733,Wed,01:30 PM,02:50 PM
Cobb Hall,110,Wed,04:30 PM,05:50 PM
Cobb Hall,203,Thu,09:30 AM,10:50 AM
Cobb Hall,116,Thu,12:30 PM,01:50 PM
Harper Mem Library,148,Wed,01:30 PM,02:50 PM
Social Sciences Rsch Bldg,302,Wed,04:30 PM,05:50 PM
TBA,TBA,Wed,01:30 PM,02:50 PM
Logan Center,701,Mon,03:30 PM,06:20 PM
Foster Hall,107,Wed,03:00 PM,04:20 PM
Cobb Hall,409,Thu,12:30 PM,01:50 PM
Cobb Hall,303,Thu,09:30 AM,10:50 AM
Gates-Blake Hall,321,Thu,02:00 PM,03:20 PM
 S. University 10,5733,Thu,03:30 PM,04:50 PM
Rosenwald Hall,405,Thu,12:30 PM,01:50 PM
Swift Hall,200,Wed,09:30 AM,12:20 PM
Pick Hall,218,Thu,09:30 AM,10:50 AM
Logan Center,501,Thu,03:30 PM,06:20 PM
The Keller Center 00,1,Thu,06:00 PM,07:20 PM
Social Sciences Rsch Bldg,401,Thu,11:00 AM,12:20 PM
Wieboldt Hall,111,Fri,12:30 PM,01:20 PM
Rosenwald Hall,405,Thu,11:00 AM,12:20 PM
 Building 140,1155,Thu,08:00 AM,09:20 AM
Classics Building,111,Thu,12:30 PM,01:50 PM
Pick Hall,319,Wed,09:30 AM,12:20 PM
Cobb Hall,301,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Thu,03:30 PM,04:50 PM
Harper Mem Library,130,Thu,09:30 AM,10:50 AM
Beecher Hall,101,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
Oriental Institute,124,Wed,10:30 AM,11:20 AM
Rosenwald Hall,329,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,148,Wed,03:00 PM,04:20 PM
Cobb Hall,115,Wed,04:30 PM,05:50 PM
Cobb Hall,115,Thu,03:30 PM,04:50 PM
Rosenwald Hall,329,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Wieboldt Hall,103,Wed,03:00 PM,04:20 PM
Haskell Hall,315,Thu,12:30 PM,01:50 PM
Beecher Hall,101,Wed,01:30 PM,02:50 PM
Cobb Hall,319,Wed,01:30 PM,02:50 PM
 S. University Room 10,5737,Wed,01:30 PM,04:20 PM
Pick Hall,118,Wed,01:30 PM,04:20 PM
Pick Hall,319,Wed,09:30 AM,12:20 PM
Rosenwald Hall,329,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Social Sciences Rsch Bldg,404,Tue,12:30 PM,03:20 PM
Cobb Hall,115,Wed,04:30 PM,05:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Thu,09:30 AM,12:20 PM
 Building 140,1155,Thu,08:00 AM,09:20 AM
TBA,TBA,TBA,TBA,TBA
Classics Building,113,Mon,02:30 PM,05:20 PM
TBA,TBA,TBA,TBA,TBA
 S. University 10,5733,Thu,09:30 AM,10:50 AM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
Harper Mem Library,151,Thu,02:00 PM,03:20 PM
Regenstein Library,136,Thu,04:30 PM,05:50 PM
Pick Hall,319,Thu,09:30 AM,10:50 AM
TBA,TBA,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,409,Thu,12:30 PM,01:50 PM
Saieh Hall for Economics,242,Thu,11:00 AM,12:20 PM
Swift Hall,106,Thu,12:30 PM,01:50 PM
Pick Hall,218,Mon,01:30 PM,04:20 PM
Wieboldt Hall,130,Thu,12:30 PM,01:50 PM
Swift Hall,200,Thu,12:30 PM,01:50 PM
Harper Mem Library,145,Tue,02:00 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Classics Building,113,Tue,02:00 PM,04:50 PM
Rosenwald Hall,329,Wed,01:30 PM,04:20 PM
Wieboldt Hall,103,Tue,11:00 AM,01:50 PM
Harper Mem Library,151,Thu,02:00 PM,03:20 PM
Regenstein Library,136,Thu,04:30 PM,05:50 PM
Pick Hall,319,Thu,09:30 AM,10:50 AM
Wieboldt Hall,130,Thu,12:30 PM,01:50 PM
Swift Hall,208,Wed,09:30 AM,12:20 PM
Classics Building,113,Tue,02:00 PM,04:50 PM
Social Sciences Rsch Bldg,404,Thu,02:00 PM,04:50 PM
Classics Building,113,Wed,02:30 PM,05:20 PM
Classics Building,113,Tue,09:30 AM,12:20 PM
BioSci Learning Center,240,Wed,03:00 PM,04:20 PM
BioSci Learning Center,401,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,324,Thu,03:30 PM,04:50 PM
TBA,TBA,Wed,05:30 PM,08:00 PM
TBA,TBA,Tue,04:20 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
 Building 289,1155,Thu,11:00 AM,12:20 PM
 Building 29,1155,Wed,03:00 PM,04:20 PM
 Building 140,1155,Wed,04:30 PM,05:50 PM
 Building 140,1155,Thu,12:30 PM,01:50 PM
 Building 289,1155,Thu,12:30 PM,01:50 PM
 Building 29,1155,Wed,01:30 PM,02:50 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,107,Thu,02:00 PM,03:20 PM
Cummings Life Sci Center,101,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
Eckhart Hall,133,Wed,03:00 PM,04:20 PM
Eckhart Hall,133,Wed,03:00 PM,04:20 PM
Jones Laboratory,226,Wed,11:00 AM,12:20 PM
Jones Laboratory,226,Thu,09:30 AM,10:50 AM
Jones Laboratory,226,Wed,09:30 AM,10:50 AM
Ryerson Phys Lab,176,Thu,02:00 PM,03:20 PM
Harper Mem Library,130,Thu,11:00 AM,12:20 PM
Ryerson Phys Lab,276,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,255,Thu,12:30 PM,01:50 PM
Ryerson Phys Lab,251,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,251,Fri,09:30 AM,10:20 AM
