TBA,TBA,TBA,TBA,TBA
Midway Studios,102,Thu,12:30 PM,03:20 PM
 S. Ellis 10,5555,Wed,12:30 PM,03:20 PM
Midway Studios,108,Mon,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Logan Center ,28,Tue,09:30 AM,12:20 PM
Midway Studios,108,Tue,09:30 AM,12:20 PM
 Building 140,1155,Mon,01:30 PM,02:50 PM
 Building 140,1155,Wed,01:30 PM,02:50 PM
Logan Center,603,Mon,01:30 PM,02:50 PM
Logan Center,603,Wed,01:30 PM,02:50 PM
Campus North Res Commons,154,Tue,11:00 AM,12:20 PM
Campus North Res Commons,154,Thu,11:00 AM,12:20 PM
 Building 140,1155,Tue,12:30 PM,01:50 PM
 Building 140,1155,Thu,12:30 PM,01:50 PM
 Building 140,1155,Tue,02:00 PM,03:20 PM
 Building 140,1155,Thu,02:00 PM,03:20 PM
Harper Mem Library,102,Tue,02:00 PM,03:20 PM
Harper Mem Library,102,Thu,02:00 PM,03:20 PM
Harper Mem Library,135,Tue,03:30 PM,04:50 PM
Harper Mem Library,135,Thu,03:30 PM,04:50 PM
Harper Mem Library,104,Tue,03:30 PM,04:50 PM
Harper Mem Library,104,Thu,03:30 PM,04:50 PM
Midway Studios,108,Wed,12:30 PM,03:20 PM
Harper Mem Library,150,Tue,12:30 PM,03:20 PM
Cobb Hall,218,Thu,02:00 PM,04:50 PM
Harper Mem Library,135,Tue,12:30 PM,03:20 PM
Logan Center,603,Tue,09:30 AM,12:20 PM
Logan Center,802,Wed,12:30 PM,03:20 PM
Midway Studios,108,Mon,12:30 PM,03:20 PM
Midway Studios,108,Tue,02:00 PM,04:50 PM
Midway Studios,102,Tue,09:30 AM,12:20 PM
Midway Studios,102,Fri,12:30 PM,03:20 PM
Harper Mem Library,135,Thu,12:30 PM,03:20 PM
Harper Mem Library,102,Fri,12:30 PM,03:20 PM
Harper Mem Library,151,Tue,09:30 AM,12:20 PM
Harper Mem Library,151,Mon,02:30 PM,05:20 PM
Midway Studios,108,Thu,12:30 PM,03:20 PM
Midway Studios,108,Thu,09:30 AM,12:20 PM
 Building 140,1155,Fri,12:30 PM,03:20 PM
Logan Center,802,Thu,02:00 PM,04:50 PM
Midway Studios,102,Thu,09:30 AM,12:20 PM
Midway Studios,102,Fri,09:30 AM,12:20 PM
Midway Studios,108,Fri,12:30 PM,03:20 PM
Midway Studios,108,Wed,12:30 PM,03:20 PM
Harper Mem Library,150,Tue,12:30 PM,03:20 PM
Cobb Hall,218,Thu,02:00 PM,04:50 PM
Harper Mem Library,135,Tue,12:30 PM,03:20 PM
Logan Center,603,Tue,09:30 AM,12:20 PM
Harper Mem Library,102,Fri,12:30 PM,03:20 PM
Logan Center,802,Wed,12:30 PM,03:20 PM
Midway Studios,108,Mon,12:30 PM,03:20 PM
Midway Studios,108,Tue,02:00 PM,04:50 PM
Midway Studios,102,Tue,09:30 AM,12:20 PM
Midway Studios,102,Fri,12:30 PM,03:20 PM
Harper Mem Library,135,Thu,12:30 PM,03:20 PM
Harper Mem Library,151,Tue,09:30 AM,12:20 PM
Harper Mem Library,151,Mon,02:30 PM,05:20 PM
Cobb Hall,206,Mon,12:30 PM,01:20 PM
Cobb Hall,206,Wed,12:30 PM,01:20 PM
Cobb Hall,206,Fri,12:30 PM,01:20 PM
Cobb Hall,206,Mon,12:30 PM,01:20 PM
Cobb Hall,206,Wed,12:30 PM,01:20 PM
Cobb Hall,206,Fri,12:30 PM,01:20 PM
Ryerson Phys Lab,251,Tue,09:30 AM,10:50 AM
Ryerson Phys Lab,251,Thu,09:30 AM,10:50 AM
Ryerson Phys Lab,251,Mon,09:30 AM,10:20 AM
Ryerson Phys Lab,251,Wed,09:30 AM,10:20 AM
Ryerson Phys Lab,251,Fri,09:30 AM,10:20 AM
TBA,TBA,TBA,TBA,TBA
 S. University Ave. 11,5727,Tue,11:00 AM,12:20 PM
 S. University Ave. 11,5727,Thu,11:00 AM,12:20 PM
 S. University Ave. 11,5727,Mon,10:30 AM,11:20 AM
 S. University Ave. 11,5727,Wed,10:30 AM,11:20 AM
 S. University Ave. 11,5727,Fri,10:30 AM,11:20 AM
Ryerson Phys Lab,276,Tue,12:30 PM,01:50 PM
Ryerson Phys Lab,276,Thu,12:30 PM,01:50 PM
Stuart Hall,102,Tue,03:30 PM,04:50 PM
Stuart Hall,102,Thu,03:30 PM,04:50 PM
Crerar Library ,11,Mon,11:30 AM,12:20 PM
Crerar Library ,11,Wed,11:30 AM,12:20 PM
Crerar Library ,11,Fri,11:30 AM,12:20 PM
Eckhart Hall,133,Tue,05:00 PM,06:20 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
Eckhart Hall,133,Tue,05:00 PM,06:20 PM
Eckhart Hall,133,Thu,05:00 PM,06:20 PM
Eckhart Hall,206,Tue,11:00 AM,12:20 PM
Eckhart Hall,206,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Jones Laboratory,226,Tue,03:30 PM,04:50 PM
Jones Laboratory,226,Thu,03:30 PM,04:50 PM
Pick Hall,319,Tue,11:00 AM,12:20 PM
Pick Hall,319,Thu,11:00 AM,12:20 PM
 S. University Room 10,5737,Tue,12:30 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,305,Tue,09:30 AM,10:50 AM
BioSci Learning Center,305,Thu,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Pick Hall,218,Tue,12:30 PM,01:50 PM
Pick Hall,218,Thu,12:30 PM,01:50 PM
Rosenwald Hall,405,Tue,09:30 AM,10:50 AM
Rosenwald Hall,405,Thu,09:30 AM,10:50 AM
Pick Hall,218,Tue,11:00 AM,12:20 PM
Pick Hall,218,Thu,11:00 AM,12:20 PM
Pick Hall,218,Tue,12:30 PM,01:50 PM
Pick Hall,218,Thu,12:30 PM,01:50 PM
Rosenwald Hall,405,Tue,09:30 AM,10:50 AM
Rosenwald Hall,405,Thu,09:30 AM,10:50 AM
Pick Hall,218,Tue,11:00 AM,12:20 PM
Pick Hall,218,Thu,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Harper Mem Library,150,Mon,03:00 PM,04:20 PM
Harper Mem Library,150,Wed,03:00 PM,04:20 PM
Cobb Hall,307,Mon,03:30 PM,06:30 PM
Cobb Hall,101,Tue,02:00 PM,03:20 PM
Cobb Hall,101,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Cochrane-Woods Art Ctr,157,Tue,11:00 AM,12:20 PM
Cochrane-Woods Art Ctr,157,Thu,11:00 AM,12:20 PM
Pick Hall ,16,Mon,01:30 PM,02:20 PM
Pick Hall ,16,Wed,01:30 PM,02:20 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,102,Tue,09:30 AM,10:50 AM
Saieh Hall for Economics,102,Thu,09:30 AM,10:50 AM
TBA,TBA,Tue,03:30 PM,04:50 PM
TBA,TBA,Thu,03:30 PM,04:50 PM
Cochrane-Woods Art Ctr,152,Fri,01:00 PM,04:00 PM
Wieboldt Hall,102,Tue,02:00 PM,03:20 PM
Wieboldt Hall,102,Thu,02:00 PM,03:20 PM
Cobb Hall,319,Mon,03:00 PM,04:20 PM
Cobb Hall,319,Wed,03:00 PM,04:20 PM
Cobb Hall,116,Mon,01:30 PM,02:50 PM
Cobb Hall,116,Wed,01:30 PM,02:50 PM
Gates-Blake Hall,321,Mon,03:00 PM,04:20 PM
Gates-Blake Hall,321,Wed,03:00 PM,04:20 PM
Swift Hall,208,Thu,03:30 PM,06:20 PM
Wieboldt Hall,103,Tue,02:00 PM,03:20 PM
Wieboldt Hall,103,Thu,02:00 PM,03:20 PM
Swift Hall,208,Tue,03:30 PM,06:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Tue,03:30 PM,04:50 PM
TBA,TBA,Thu,03:30 PM,04:50 PM
Cobb Hall,116,Mon,01:30 PM,02:50 PM
Cobb Hall,116,Wed,01:30 PM,02:50 PM
Swift Hall,208,Thu,03:30 PM,06:20 PM
Wieboldt Hall,103,Tue,02:00 PM,03:20 PM
Wieboldt Hall,103,Thu,02:00 PM,03:20 PM
Swift Hall,208,Tue,03:30 PM,06:20 PM
Wieboldt Hall,102,Mon,02:30 PM,05:20 PM
Harper Mem Library,148,Tue,11:00 AM,12:20 PM
Harper Mem Library,148,Thu,11:00 AM,12:20 PM
TBA,TBA,Wed,01:30 PM,04:20 PM
Pick Hall,118,Fri,01:30 PM,04:20 PM
Cochrane-Woods Art Ctr,156,Tue,03:30 PM,06:20 PM
Cobb Hall,218,Mon,01:30 PM,04:20 PM
Wieboldt Hall,102,Wed,02:30 PM,05:20 PM
Rosenwald Hall,208,Wed,01:30 PM,04:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
BioSci Learning Center,305,Tue,09:30 AM,10:50 AM
BioSci Learning Center,305,Thu,09:30 AM,10:50 AM
Zoology Building,212,Tue,11:00 AM,12:20 PM
Zoology Building,212,Thu,11:00 AM,12:20 PM
Ida B & Walter Erman Ctr,200,Mon,11:30 AM,01:20 PM
Ida B & Walter Erman Ctr,200,Wed,11:30 AM,01:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Social Sciences Rsch Bldg,122,Tue,09:30 AM,10:50 AM
Social Sciences Rsch Bldg,122,Thu,09:30 AM,10:50 AM
Social Sciences Rsch Bldg,122,Mon,01:30 PM,02:50 PM
Social Sciences Rsch Bldg,122,Wed,01:30 PM,02:50 PM
Social Sciences Rsch Bldg,122,Tue,03:30 PM,04:50 PM
Social Sciences Rsch Bldg,122,Thu,03:30 PM,04:50 PM
Saieh Hall for Economics,146,Tue,11:00 AM,12:20 PM
Saieh Hall for Economics,146,Thu,11:00 AM,12:20 PM
Saieh Hall for Economics ,21,Mon,01:30 PM,02:50 PM
Saieh Hall for Economics ,21,Wed,01:30 PM,02:50 PM
Saieh Hall for Economics ,21,Mon,03:00 PM,04:20 PM
Saieh Hall for Economics ,21,Wed,03:00 PM,04:20 PM
Saieh Hall for Economics,203,Tue,09:30 AM,10:50 AM
Saieh Hall for Economics,203,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics,146,Tue,09:30 AM,10:50 AM
Saieh Hall for Economics,146,Thu,09:30 AM,10:50 AM
The Keller Center 0,21,Mon,01:30 PM,02:50 PM
The Keller Center 0,21,Wed,01:30 PM,02:50 PM
Stuart Hall,105,Mon,03:00 PM,04:20 PM
Stuart Hall,105,Wed,03:00 PM,04:20 PM
The Keller Center 0,21,Mon,04:30 PM,05:50 PM
The Keller Center 0,21,Wed,04:30 PM,05:50 PM
Saieh Hall for Economics,146,Mon,01:30 PM,02:50 PM
Saieh Hall for Economics,146,Wed,01:30 PM,02:50 PM
Harper Mem Library,140,Mon,03:00 PM,04:20 PM
Harper Mem Library,140,Wed,03:00 PM,04:20 PM
Rosenwald Hall ,11,Tue,12:30 PM,01:50 PM
Rosenwald Hall ,11,Thu,12:30 PM,01:50 PM
Saieh Hall for Economics,146,Tue,08:00 AM,09:20 AM
Saieh Hall for Economics,146,Thu,08:00 AM,09:20 AM
Stuart Hall,104,Tue,12:30 PM,01:50 PM
Stuart Hall,104,Thu,12:30 PM,01:50 PM
 S. University Ave. 11,5727,Tue,02:00 PM,03:20 PM
 S. University Ave. 11,5727,Thu,02:00 PM,03:20 PM
Saieh Hall for Economics,203,Tue,02:00 PM,03:20 PM
Saieh Hall for Economics,203,Thu,02:00 PM,03:20 PM
Pick Hall ,16,Tue,11:00 AM,12:20 PM
Pick Hall ,16,Thu,11:00 AM,12:20 PM
Saieh Hall for Economics,146,Tue,03:30 PM,04:50 PM
Saieh Hall for Economics,146,Thu,03:30 PM,04:50 PM
Stuart Hall,102,Tue,08:00 AM,09:20 AM
Stuart Hall,102,Thu,08:00 AM,09:20 AM
Stuart Hall,102,Tue,09:30 AM,10:50 AM
Stuart Hall,102,Thu,09:30 AM,10:50 AM
Stuart Hall,102,Tue,02:00 PM,03:20 PM
Stuart Hall,102,Thu,02:00 PM,03:20 PM
Saieh Hall for Economics,203,Tue,12:30 PM,01:50 PM
Saieh Hall for Economics,203,Thu,12:30 PM,01:50 PM
Saieh Hall for Economics,203,Tue,11:00 AM,12:20 PM
Saieh Hall for Economics,203,Thu,11:00 AM,12:20 PM
Saieh Hall for Economics,242,Tue,09:30 AM,10:50 AM
Saieh Hall for Economics,242,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics,103,Tue,02:00 PM,03:20 PM
Saieh Hall for Economics,103,Thu,02:00 PM,03:20 PM
Harper Mem Library,140,Tue,11:00 AM,12:20 PM
Harper Mem Library,140,Thu,11:00 AM,12:20 PM
Saieh Hall for Economics ,21,Tue,09:30 AM,10:50 AM
Saieh Hall for Economics ,21,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics ,21,Tue,11:00 AM,12:20 PM
Saieh Hall for Economics ,21,Thu,11:00 AM,12:20 PM
Pick Hall ,16,Tue,09:30 AM,10:50 AM
Pick Hall ,16,Thu,09:30 AM,10:50 AM
The Keller Center 00,1,Tue,02:00 PM,03:20 PM
The Keller Center 00,1,Thu,02:00 PM,03:20 PM
Rosenwald Hall ,11,Tue,09:30 AM,10:50 AM
Rosenwald Hall ,11,Thu,09:30 AM,10:50 AM
Rosenwald Hall ,11,Tue,11:00 AM,12:20 PM
Rosenwald Hall ,11,Thu,11:00 AM,12:20 PM
Saieh Hall for Economics,146,Tue,08:00 AM,09:20 AM
Saieh Hall for Economics,146,Thu,08:00 AM,09:20 AM
TBA,TBA,Tue,08:30 AM,11:30 AM
Saieh Hall for Economics,141,Tue,03:30 PM,04:50 PM
Saieh Hall for Economics,141,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,146,Tue,02:00 PM,03:20 PM
Saieh Hall for Economics,146,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,203,Mon,11:00 AM,12:20 PM
Saieh Hall for Economics,203,Wed,11:00 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,247,Tue,09:30 AM,10:50 AM
Saieh Hall for Economics,247,Thu,09:30 AM,10:50 AM
Saieh Hall for Economics,103,Mon,01:30 PM,02:50 PM
Saieh Hall for Economics,103,Wed,01:30 PM,02:50 PM
Saieh Hall for Economics,247,Tue,02:00 PM,03:20 PM
Saieh Hall for Economics,247,Thu,02:00 PM,03:20 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,247,Tue,03:30 PM,04:50 PM
Saieh Hall for Economics,247,Thu,03:30 PM,04:50 PM
Saieh Hall for Economics,203,Mon,09:30 AM,10:50 AM
Saieh Hall for Economics,203,Wed,09:30 AM,10:50 AM
TBA,TBA,TBA,TBA,TBA
The Keller Center 0,23,Tue,02:00 PM,04:50 PM
Saieh Hall for Economics ,21,Thu,02:00 PM,04:50 PM
The Keller Center,2112,Thu,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Tue,01:30 PM,04:30 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,101,Wed,11:30 AM,01:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
The Keller Center,1022,Thu,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,11:45 AM,01:15 PM
 Building 23,1155,Tue,12:30 PM,01:50 PM
 Building 23,1155,Thu,12:30 PM,01:50 PM
Saieh Hall for Economics ,21,Tue,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,203,Wed,12:30 PM,01:50 PM
TBA,TBA,Thu,01:20 PM,02:20 PM
Saieh Hall for Economics,242,Thu,01:30 PM,02:20 PM
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,419,Wed,12:30 PM,01:20 PM
Saieh Hall for Economics,141,Fri,12:30 PM,02:20 PM
Saieh Hall for Economics,146,Tue,12:30 PM,01:50 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Saieh Hall for Economics,141,Fri,10:30 AM,12:20 PM
Rosenwald Hall ,15,Tue,12:30 PM,01:50 PM
Rosenwald Hall ,15,Thu,12:30 PM,01:50 PM
Rosenwald Hall ,15,Tue,12:30 PM,01:50 PM
Rosenwald Hall ,15,Thu,12:30 PM,01:50 PM
Saieh Hall for Economics,146,Mon,09:30 AM,10:50 AM
Saieh Hall for Economics,146,Wed,09:30 AM,10:50 AM
Saieh Hall for Economics,146,Mon,09:30 AM,10:50 AM
Saieh Hall for Economics,146,Wed,09:30 AM,10:50 AM
Saieh Hall for Economics,141,Mon,01:30 PM,02:50 PM
Saieh Hall for Economics,141,Wed,01:30 PM,02:50 PM
Saieh Hall for Economics,141,Mon,01:30 PM,02:50 PM
Saieh Hall for Economics,141,Wed,01:30 PM,02:50 PM
Kent Chem Lab,107,Tue,02:00 PM,03:20 PM
Oriental Institute,124,Mon,10:30 AM,11:20 AM
Oriental Institute,124,Wed,10:30 AM,11:20 AM
Pick Hall,319,Wed,09:30 AM,12:20 PM
Cobb Hall,301,Tue,02:00 PM,03:20 PM
Cobb Hall,301,Thu,02:00 PM,03:20 PM
Cobb Hall,301,Tue,03:30 PM,04:50 PM
Cobb Hall,301,Thu,03:30 PM,04:50 PM
Harper Mem Library,130,Tue,09:30 AM,10:50 AM
Harper Mem Library,130,Thu,09:30 AM,10:50 AM
Beecher Hall,101,Mon,01:30 PM,02:50 PM
Beecher Hall,101,Wed,01:30 PM,02:50 PM
 Building 140,1155,Tue,11:00 AM,12:20 PM
Cobb Hall,115,Tue,03:30 PM,04:50 PM
Cobb Hall,115,Thu,03:30 PM,04:50 PM
Stuart Hall,104,Mon,09:30 AM,12:20 PM
Pick Hall,118,Wed,01:30 PM,04:20 PM
Pick Hall,319,Wed,09:30 AM,12:20 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Oriental Institute,210,Mon,10:30 AM,11:20 AM
Oriental Institute,210,Wed,10:30 AM,11:20 AM
Oriental Institute,210,Fri,10:30 AM,11:20 AM
Oriental Institute,210,Mon,10:30 AM,11:20 AM
Oriental Institute,210,Wed,10:30 AM,11:20 AM
Oriental Institute,210,Fri,10:30 AM,11:20 AM
Oriental Institute,208,Mon,11:30 AM,12:20 PM
Oriental Institute,208,Wed,11:30 AM,12:20 PM
Oriental Institute,208,Fri,11:30 AM,12:20 PM
Oriental Institute,208,Mon,11:30 AM,12:20 PM
Oriental Institute,208,Wed,11:30 AM,12:20 PM
Oriental Institute,208,Fri,11:30 AM,12:20 PM
Cobb Hall,115,Mon,09:30 AM,10:20 AM
Cobb Hall,115,Wed,09:30 AM,10:20 AM
Cobb Hall,115,Fri,09:30 AM,10:20 AM
Cobb Hall,115,Mon,09:30 AM,10:20 AM
Cobb Hall,115,Wed,09:30 AM,10:20 AM
Cobb Hall,115,Fri,09:30 AM,10:20 AM
Oriental Institute,208,Mon,12:30 PM,01:20 PM
Oriental Institute,208,Wed,12:30 PM,01:20 PM
Oriental Institute,208,Fri,12:30 PM,01:20 PM
Oriental Institute,208,Mon,12:30 PM,01:20 PM
Oriental Institute,208,Wed,12:30 PM,01:20 PM
Oriental Institute,208,Fri,12:30 PM,01:20 PM
TBA,TBA,Tue,12:00 PM,01:00 PM
TBA,TBA,Thu,12:00 PM,01:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Tue,08:00 AM,05:00 PM
TBA,TBA,Thu,08:00 AM,05:00 PM
TBA,TBA,Thu,08:00 AM,05:00 PM
TBA,TBA,Wed,08:00 AM,05:00 PM
TBA,TBA,Tue,08:00 AM,05:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,Mon,07:00 AM,05:00 PM
TBA,TBA,Tue,07:00 AM,05:00 PM
TBA,TBA,Wed,07:00 AM,05:00 PM
TBA,TBA,Thu,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Mon,07:00 AM,05:00 PM
TBA,TBA,Tue,07:00 AM,05:00 PM
TBA,TBA,Wed,07:00 AM,05:00 PM
TBA,TBA,Thu,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Mon,07:00 AM,05:00 PM
TBA,TBA,Tue,07:00 AM,05:00 PM
TBA,TBA,Wed,07:00 AM,05:00 PM
TBA,TBA,Thu,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,Mon,07:00 AM,05:00 PM
TBA,TBA,Tue,07:00 AM,05:00 PM
TBA,TBA,Wed,07:00 AM,05:00 PM
TBA,TBA,Thu,07:00 AM,05:00 PM
TBA,TBA,Fri,07:00 AM,05:00 PM
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
TBA,TBA,TBA,TBA,TBA
Rosenwald Hall,432,Mon,11:30 AM,12:20 PM
Rosenwald Hall,432,Wed,11:30 AM,12:20 PM
Rosenwald Hall,432,Fri,11:30 AM,12:20 PM
Regenstein Library,207,Mon,01:30 PM,02:50 PM
Regenstein Library,207,Wed,01:30 PM,02:50 PM
TBA,TBA,TBA,TBA,TBA
 S. University 10,5733,Mon,03:00 PM,04:20 PM
 S. University 10,5733,Wed,03:00 PM,04:20 PM
Pick Hall ,16,Mon,12:30 PM,01:20 PM
Pick Hall ,16,Wed,12:30 PM,01:20 PM
Logan Center,201,Mon,01:30 PM,02:50 PM
Logan Center,201,Wed,01:30 PM,02:50 PM
Logan Center,201,Tue,12:30 PM,01:50 PM
Logan Center,201,Thu,12:30 PM,01:50 PM
Gates-Blake Hall,321,Tue,02:00 PM,03:20 PM
Gates-Blake Hall,321,Thu,02:00 PM,03:20 PM
Wieboldt Hall,408,Mon,04:30 PM,07:20 PM
Harper Mem Library,141,Tue,11:00 AM,12:20 PM
Harper Mem Library,141,Thu,11:00 AM,12:20 PM
Rosenwald Hall,405,Tue,03:30 PM,04:50 PM
Rosenwald Hall,405,Thu,03:30 PM,04:50 PM
TBA,TBA,TBA,TBA,TBA
Cobb Hall,107,Tue,12:30 PM,01:50 PM
Cobb Hall,107,Thu,12:30 PM,01:50 PM
Cobb Hall,107,Tue,03:30 PM,04:50 PM
Cobb Hall,107,Thu,03:30 PM,04:50 PM
Cobb Hall,203,Tue,12:30 PM,01:50 PM
Cobb Hall,203,Thu,12:30 PM,01:50 PM
Rosenwald Hall,432,Mon,10:30 AM,11:20 AM
Rosenwald Hall,432,Wed,10:30 AM,11:20 AM
Rosenwald Hall,432,Fri,10:30 AM,11:20 AM
Cobb Hall,104,Mon,04:30 PM,05:50 PM
Cobb Hall,104,Wed,04:30 PM,05:50 PM
Rosenwald Hall,405,Mon,03:00 PM,04:20 PM
Rosenwald Hall,405,Wed,03:00 PM,04:20 PM
Rosenwald Hall,405,Mon,01:30 PM,02:50 PM
Rosenwald Hall,405,Wed,01:30 PM,02:50 PM
 Building 140,1155,Tue,09:30 AM,10:50 AM
 Building 140,1155,Thu,09:30 AM,10:50 AM
Pick Hall,118,Tue,11:00 AM,12:20 PM
Pick Hall,118,Thu,11:00 AM,12:20 PM
Regenstein Library,207,Tue,02:00 PM,03:20 PM
Regenstein Library,207,Thu,02:00 PM,03:20 PM
Rosenwald Hall,405,Mon,04:30 PM,05:50 PM
